#L TT EE BB TE PP TP EP WW WP WT WE FF FP FW FT FE
5.700000e+01 1.565800e+03 1.791600e-01 0.000000e+00 -1.004000e+00 1.318600e-07 6.910000e-04 -1.198800e-06 5.408181e-12 5.408181e-12 5.408181e-12 5.408181e-12 2.387875e-09 2.387875e-09 2.387875e-09 2.387875e-09 2.387875e-09
5.800000e+01 1.587300e+03 1.889000e-01 0.000000e+00 -1.284200e+00 1.312400e-07 6.788600e-04 -1.237700e-06 5.488324e-12 5.488324e-12 5.488324e-12 5.488324e-12 2.534435e-09 2.534435e-09 2.534435e-09 2.534435e-09 2.534435e-09
5.900000e+01 1.609000e+03 1.988500e-01 0.000000e+00 -1.577800e+00 1.306100e-07 6.670900e-04 -1.283800e-06 5.567200e-12 5.567200e-12 5.567200e-12 5.567200e-12 2.686794e-09 2.686794e-09 2.686794e-09 2.686794e-09 2.686794e-09
6.000000e+01 1.630900e+03 2.090600e-01 0.000000e+00 -1.884100e+00 1.299800e-07 6.556500e-04 -1.328400e-06 5.644818e-12 5.644818e-12 5.644818e-12 5.644818e-12 2.845040e-09 2.845040e-09 2.845040e-09 2.845040e-09 2.845040e-09
6.100000e+01 1.653200e+03 2.196100e-01 0.000000e+00 -2.202400e+00 1.293400e-07 6.445100e-04 -1.364200e-06 5.721191e-12 5.721191e-12 5.721191e-12 5.721191e-12 3.009260e-09 3.009260e-09 3.009260e-09 3.009260e-09 3.009260e-09
6.200000e+01 1.675400e+03 2.305100e-01 0.000000e+00 -2.533700e+00 1.286900e-07 6.336600e-04 -1.390000e-06 5.796328e-12 5.796328e-12 5.796328e-12 5.796328e-12 3.179539e-09 3.179539e-09 3.179539e-09 3.179539e-09 3.179539e-09
6.300000e+01 1.697700e+03 2.416900e-01 0.000000e+00 -2.878800e+00 1.280400e-07 6.230900e-04 -1.406000e-06 5.870241e-12 5.870241e-12 5.870241e-12 5.870241e-12 3.355959e-09 3.355959e-09 3.355959e-09 3.355959e-09 3.355959e-09
6.400000e+01 1.720400e+03 2.531900e-01 0.000000e+00 -3.239000e+00 1.273800e-07 6.127900e-04 -1.412400e-06 5.942941e-12 5.942941e-12 5.942941e-12 5.942941e-12 3.538600e-09 3.538600e-09 3.538600e-09 3.538600e-09 3.538600e-09
6.500000e+01 1.743100e+03 2.649700e-01 0.000000e+00 -3.614900e+00 1.267100e-07 6.027500e-04 -1.409500e-06 6.014439e-12 6.014439e-12 6.014439e-12 6.014439e-12 3.727537e-09 3.727537e-09 3.727537e-09 3.727537e-09 3.727537e-09
6.600000e+01 1.766100e+03 2.769700e-01 0.000000e+00 -4.004600e+00 1.260400e-07 5.929600e-04 -1.398100e-06 6.084747e-12 6.084747e-12 6.084747e-12 6.084747e-12 3.922847e-09 3.922847e-09 3.922847e-09 3.922847e-09 3.922847e-09
6.700000e+01 1.789200e+03 2.891800e-01 0.000000e+00 -4.405700e+00 1.253700e-07 5.834200e-04 -1.381900e-06 6.153877e-12 6.153877e-12 6.153877e-12 6.153877e-12 4.124601e-09 4.124601e-09 4.124601e-09 4.124601e-09 4.124601e-09
6.800000e+01 1.812700e+03 3.016500e-01 0.000000e+00 -4.816700e+00 1.246900e-07 5.741200e-04 -1.365400e-06 6.221845e-12 6.221845e-12 6.221845e-12 6.221845e-12 4.332867e-09 4.332867e-09 4.332867e-09 4.332867e-09 4.332867e-09
6.900000e+01 1.836400e+03 3.143500e-01 0.000000e+00 -5.236400e+00 1.240100e-07 5.650600e-04 -1.352900e-06 6.288663e-12 6.288663e-12 6.288663e-12 6.288663e-12 4.547714e-09 4.547714e-09 4.547714e-09 4.547714e-09 4.547714e-09
7.000000e+01 1.860400e+03 3.273000e-01 0.000000e+00 -5.666500e+00 1.233300e-07 5.562300e-04 -1.348900e-06 6.354346e-12 6.354346e-12 6.354346e-12 6.354346e-12 4.769205e-09 4.769205e-09 4.769205e-09 4.769205e-09 4.769205e-09
7.100000e+01 1.884700e+03 3.405000e-01 0.000000e+00 -6.109900e+00 1.226400e-07 5.476300e-04 -1.356300e-06 6.418908e-12 6.418908e-12 6.418908e-12 6.418908e-12 4.997402e-09 4.997402e-09 4.997402e-09 4.997402e-09 4.997402e-09
7.200000e+01 1.909100e+03 3.539300e-01 0.000000e+00 -6.567400e+00 1.219600e-07 5.392600e-04 -1.372700e-06 6.482363e-12 6.482363e-12 6.482363e-12 6.482363e-12 5.232364e-09 5.232364e-09 5.232364e-09 5.232364e-09 5.232364e-09
7.300000e+01 1.933700e+03 3.675400e-01 0.000000e+00 -7.039400e+00 1.212700e-07 5.311100e-04 -1.394100e-06 6.544724e-12 6.544724e-12 6.544724e-12 6.544724e-12 5.474147e-09 5.474147e-09 5.474147e-09 5.474147e-09 5.474147e-09
7.400000e+01 1.958500e+03 3.813200e-01 0.000000e+00 -7.524500e+00 1.205800e-07 5.231800e-04 -1.416900e-06 6.606006e-12 6.606006e-12 6.606006e-12 6.606006e-12 5.722805e-09 5.722805e-09 5.722805e-09 5.722805e-09 5.722805e-09
7.500000e+01 1.983500e+03 3.952900e-01 0.000000e+00 -8.021000e+00 1.198900e-07 5.154700e-04 -1.437000e-06 6.666224e-12 6.666224e-12 6.666224e-12 6.666224e-12 5.978389e-09 5.978389e-09 5.978389e-09 5.978389e-09 5.978389e-09
7.600000e+01 2.008800e+03 4.094500e-01 0.000000e+00 -8.527800e+00 1.192000e-07 5.079700e-04 -1.451400e-06 6.725389e-12 6.725389e-12 6.725389e-12 6.725389e-12 6.240948e-09 6.240948e-09 6.240948e-09 6.240948e-09 6.240948e-09
