#L TT EE BB TE PP TP EP WW WP WT WE FF FP FW FT FE
8.800000e+01 2.331900e+03 5.896700e-01 0.000000e+00 -1.534300e+01 1.110100e-07 4.303000e-04 -1.452600e-06 3.875013e-10 3.875013e-10 3.875013e-10 3.875013e-10 2.331900e-08 2.331900e-08 2.331900e-08 2.331900e-08 2.331900e-08
8.900000e+01 2.360400e+03 6.051900e-01 0.000000e+00 -1.596400e+01 1.103300e-07 4.247800e-04 -1.473000e-06 3.895292e-10 3.895292e-10 3.895292e-10 3.895292e-10 2.360400e-08 2.360400e-08 2.360400e-08 2.360400e-08 2.360400e-08
9.000000e+01 2.389200e+03 6.207200e-01 0.000000e+00 -1.658900e+01 1.096600e-07 4.193800e-04 -1.492600e-06 3.915386e-10 3.915386e-10 3.915386e-10 3.915386e-10 2.389200e-08 2.389200e-08 2.389200e-08 2.389200e-08 2.389200e-08
9.100000e+01 2.418100e+03 6.362400e-01 0.000000e+00 -1.722100e+01 1.090000e-07 4.140800e-04 -1.509300e-06 3.935306e-10 3.935306e-10 3.935306e-10 3.935306e-10 2.418100e-08 2.418100e-08 2.418100e-08 2.418100e-08 2.418100e-08
9.200000e+01 2.447200e+03 6.517600e-01 0.000000e+00 -1.785700e+01 1.083400e-07 4.088800e-04 -1.522900e-06 3.954700e-10 3.954700e-10 3.954700e-10 3.954700e-10 2.447200e-08 2.447200e-08 2.447200e-08 2.447200e-08 2.447200e-08
9.300000e+01 2.476700e+03 6.672500e-01 0.000000e+00 -1.849900e+01 1.076800e-07 4.037900e-04 -1.533500e-06 3.973567e-10 3.973567e-10 3.973567e-10 3.973567e-10 2.476700e-08 2.476700e-08 2.476700e-08 2.476700e-08 2.476700e-08
9.400000e+01 2.506300e+03 6.826800e-01 0.000000e+00 -1.914400e+01 1.070200e-07 3.987900e-04 -1.541300e-06 3.991907e-10 3.991907e-10 3.991907e-10 3.991907e-10 2.506300e-08 2.506300e-08 2.506300e-08 2.506300e-08 2.506300e-08
9.500000e+01 2.536100e+03 6.980400e-01 0.000000e+00 -1.979300e+01 1.063700e-07 3.938900e-04 -1.546600e-06 4.010098e-10 4.010098e-10 4.010098e-10 4.010098e-10 2.536100e-08 2.536100e-08 2.536100e-08 2.536100e-08 2.536100e-08
9.600000e+01 2.566000e+03 7.133400e-01 0.000000e+00 -2.044600e+01 1.057200e-07 3.890800e-04 -1.549500e-06 4.027770e-10 4.027770e-10 4.027770e-10 4.027770e-10 2.566000e-08 2.566000e-08 2.566000e-08 2.566000e-08 2.566000e-08
9.700000e+01 2.596300e+03 7.285400e-01 0.000000e+00 -2.110100e+01 1.050700e-07 3.843600e-04 -1.550200e-06 4.044923e-10 4.044923e-10 4.044923e-10 4.044923e-10 2.596300e-08 2.596300e-08 2.596300e-08 2.596300e-08 2.596300e-08
9.800000e+01 2.626800e+03 7.436500e-01 0.000000e+00 -2.175800e+01 1.044300e-07 3.797400e-04 -1.548900e-06 4.061947e-10 4.061947e-10 4.061947e-10 4.061947e-10 2.626800e-08 2.626800e-08 2.626800e-08 2.626800e-08 2.626800e-08
9.900000e+01 2.657400e+03 7.586200e-01 0.000000e+00 -2.241800e+01 1.037900e-07 3.752000e-04 -1.545900e-06 4.078460e-10 4.078460e-10 4.078460e-10 4.078460e-10 2.657400e-08 2.657400e-08 2.657400e-08 2.657400e-08 2.657400e-08
1.000000e+02 2.688300e+03 7.734600e-01 0.000000e+00 -2.307700e+01 1.031500e-07 3.707500e-04 -1.541200e-06 4.094462e-10 4.094462e-10 4.094462e-10 4.094462e-10 2.688300e-08 2.688300e-08 2.688300e-08 2.688300e-08 2.688300e-08
